ADA-ES, Inc.,ADES,NasdaqCM,United States of America
American DG Energy, Inc.,ADGE,NYSE MKT,United States of America
AllDigital Holdings, Inc,ADGL,OTC BB,United States of America
Analog Devices, Inc.,ADI,NasdaqGS,United States of America
AdCare Health Systems Inc.,ADK,NYSE MKT,United States of America
Advanced Life Sciences Holding,ADLS,OTC Markets,United States of America
Archer Daniels Midland Company,ADM,NYSE,United States of America
Adamis Pharmaceuticals Corpora,ADMP,OTC Markets,United States of America
ADM Tronics Unlimited Inc.,ADMT,OTC Markets,United States of America
Audience, Inc.,ADNC,NasdaqGS,United States of America
Ardent Mines Ltd.,ADNT,OTC Markets,United States of America
Adino Energy Corporation,ADNY,OTC Markets,United States of America
Automatic Data Processing, Inc,ADP,NasdaqGS,United States of America
Adarna Energy Corporation,ADRN,OTC Markets,United States of America
Alliance Data Systems Corporat,ADS,NYSE,United States of America
Autodesk, Inc.,ADSK,NasdaqGS,United States of America
ADTRAN Inc.,ADTN,NasdaqGS,United States of America
Addus HomeCare Corporation,ADUS,NasdaqGM,United States of America
Advant-E Corp.,ADVC,OTC Markets,United States of America
Advent Software, Inc.,ADVS,NasdaqGS,United States of America
The Adams Express Company,ADX,NYSE,United States of America
Advaxis, Inc.,ADXS,OTC BB,United States of America
Feihe International, Inc.,ADY,NYSE,United States of America
Adams Resources & Energy Inc.,AE,NYSE MKT,United States of America
Associated Estates Realty Corp,AEC,NYSE,United States of America
American Energy Development Co,AEDC,OTC BB,United States of America
Ameren Corporation,AEE,NYSE,United States of America
American Energy Group Ltd.,AEGG,OTC Markets,United States of America
Aegion Corporation,AEGN,NasdaqGS,United States of America
Aegerion Pharmaceuticals, Inc.,AEGR,NasdaqGM,United States of America
Aehr Test Systems,AEHR,NasdaqCM,United States of America
Advanced Energy Industries, In,AEIS,NasdaqGS,United States of America
American Equity Investment Lif,AEL,NYSE,United States of America
Agnico-Eagle Mines Ltd.,AEM,NYSE,United States of America
Aethlon Medical, Inc.,AEMD,OTC BB,United States of America
Americas Energy Company,AENYQ,OTC Markets,United States of America
American Eagle Outfitters, Inc,AEO,NYSE,United States of America
American Electric Power Co., I,AEP,NYSE,United States of America
AEP Industries Inc.,AEPI,NasdaqGS,United States of America
AerCap Holdings N.V.,AER,NYSE,United States of America
Applied Energetics, Inc.,AERG,OTC Markets,United States of America
Asia Entertainment & Resources,AERL,NasdaqGM,United States of America
Aerogrow International, Inc.,AERO,OTC Markets,United States of America
Advanced Environmental Recycli,AERT,OTC Markets,United States of America
The AES Corporation,AES,NYSE,United States of America
Aetna Inc.,AET,NYSE,United States of America
American Electric Technologies,AETI,NasdaqCM,United States of America
ADDvantage Technologies Group,AEY,NasdaqGM,United States of America
Astoria Financial Corporation,AF,NYSE,United States of America
Almost Family Inc.,AFAM,NasdaqGS,United States of America
AF Ocean Investment Management,AFAN,OTC BB,United States of America
AllianceBernstein National Mun,AFB,NYSE,United States of America
Allied First Bancorp Inc.,AFBA,OTC BB,United States of America
American Fiber Green Products,,AFBG,OTC Markets,United States of America
Athens Bancshares Corporation,AFCB,NasdaqCM,United States of America
AFC Enterprises Inc.,AFCE,NasdaqGS,United States of America
Affirmative Insurance Holdings,AFFM,OTC Markets,United States of America
Affinity Mediaworks Corp,AFFW,OTC BB,United States of America
Affymetrix Inc.,AFFX,NasdaqGS,United States of America
Affymax, Inc.,AFFY,NasdaqGS,United States of America
American Financial Group Inc.,AFG,NYSE,United States of America
AFLAC Inc.,AFL,NYSE,United States of America
