Clear Media Ltd.,0100.HK,HKSE,Hongkong
Summit Ascent Holdings Ltd,0102.HK,HKSE,Hongkong
Shougang Concord Century,0103.HK,HKSE,Hongkong
Asia Commercial Holdings Ltd.,0104.HK,HKSE,Hongkong
Associated Inter Hotels,0105.HK,HKSE,Hongkong
Shenzhen High-Tech,0106.HK,HKSE,Hongkong
Sichuan Expressway Co., Ltd.,0107.HK,HKSE,Hongkong
Buildmore International Ltd.,0108.HK,HKSE,Hongkong
Good Fellow Resources,0109.HK,HKSE,Hongkong
China Fortune Holdings Limited,0110.HK,HKSE,Hongkong
Cinda International,0111.HK,HKSE,Hongkong
Chi Cheung Investment,0112.HK,HKSE,Hongkong
Dickson Concepts,0113.HK,HKSE,Hongkong
Herald Holdings Ltd.,0114.HK,HKSE,Hongkong
Chow Sang Sang Holdings,0116.HK,HKSE,Hongkong
EYANG Holdings Group,0117.HK,HKSE,Hongkong
Cosmos Machinery Enterpri,0118.HK,HKSE,Hongkong
Poly (Hong Kong) Investme,0119.HK,HKSE,Hongkong
Cosmopolitan Inter Holdin,0120.HK,HKSE,Hongkong
Crocodile Garments Ltd.,0122.HK,HKSE,Hongkong
Yuexiu Property Co., Ltd.,0123.HK,HKSE,Hongkong
Kingway Brewery Holdings Ltd.,0124.HK,HKSE,Hongkong
Sun Hing Vision Group,0125.HK,HKSE,Hongkong
Tak Sing Alliance,0126.HK,HKSE,Hongkong
Chinese Estates Holdings Ltd.,0127.HK,HKSE,Hongkong
ENM Holdings Ltd.,0128.HK,HKSE,Hongkong
Asia Standard,0129.HK,HKSE,Hongkong
Moiselle Inter Holdings,0130.HK,HKSE,Hongkong
Cheuk Nang holdings,0131.HK,HKSE,Hongkong
China Investments Holding,0132.HK,HKSE,Hongkong
Kunlun Energy Company Ltd.,0135.HK,HKSE,Hongkong
Mascotte Holdings Ltd.,0136.HK,HKSE,Hongkong
Jinhui Holdings Co., Ltd.,0137.HK,HKSE,Hongkong
CCT Telecom Holdings Ltd.,0138.HK,HKSE,Hongkong
ICube Technology Holdings Ltd.,0139.HK,HKSE,Hongkong
Great China Holdings Ltd.,0141.HK,HKSE,Hongkong
First Pacific Co., Ltd.,0142.HK,HKSE,Hongkong
Global Tech holdings,0143.HK,HKSE,Hongkong
China Merchants Holdings,0144.HK,HKSE,Hongkong
HK Building and Loan Agen,0145.HK,HKSE,Hongkong
Tai Ping Carpets,0146.HK,HKSE,Hongkong
Chaoyue Group Limited,0147.HK,HKSE,Hongkong
Kingboard Chemical,0148.HK,HKSE,Hongkong
China Agri-Products Ex,0149.HK,HKSE,Hongkong
Want Want China,0151.HK,HKSE,Hongkong
